Skill,Count,Ranking
nosql,3,0.0193548387097
oozie,1,0.00645161290323
pig,17,0.109677419355
hive,8,0.0516129032258
sas,8,0.0516129032258
tableau,22,0.141935483871
hbase,4,0.0258064516129
d3,4,0.0258064516129
cassandra,2,0.0129032258065
java,43,0.277419354839
rdbms,1,0.00645161290323
scala,35,0.225806451613
excel,29,0.187096774194
hadoop,41,0.264516129032
perl,3,0.0193548387097
matlab,16,0.103225806452
numpy,2,0.0129032258065
pandas,17,0.109677419355
flume,1,0.00645161290323
python,74,0.477419354839
javascript,26,0.167741935484
sql,50,0.322580645161
spark,41,0.264516129032
ruby,2,0.0129032258065
bash,6,0.0387096774194
c++,24,0.154838709677
r,59,0.38064516129
