Skill,Count,Ranking
pig,2,0.0132450331126
hive,11,0.0728476821192
sas,50,0.331125827815
hbase,6,0.0397350993377
d3,11,0.0728476821192
cassandra,3,0.0198675496689
java,26,0.172185430464
scala,13,0.0860927152318
excel,31,0.205298013245
tableau,26,0.172185430464
perl,7,0.046357615894
matlab,23,0.152317880795
numpy,3,0.0198675496689
pandas,4,0.0264900662252
python,83,0.549668874172
javascript,2,0.0132450331126
spotfire,12,0.0794701986755
sql,72,0.476821192053
spark,21,0.139072847682
ruby,1,0.00662251655629
c++,7,0.046357615894
spss,7,0.046357615894
r,85,0.562913907285
hadoop,25,0.165562913907
