Skill,Count,Ranking
shark,18,0.12
splunk,1,0.00666666666667
pig,17,0.113333333333
hive,24,0.16
sas,38,0.253333333333
tableau,48,0.32
d3,10,0.0666666666667
java,38,0.253333333333
rdbms,3,0.02
scala,28,0.186666666667
excel,36,0.24
hadoop,45,0.3
perl,2,0.0133333333333
mahout,12,0.08
matlab,24,0.16
pandas,1,0.00666666666667
flume,2,0.0133333333333
python,52,0.346666666667
javascript,13,0.0866666666667
sql,61,0.406666666667
spark,49,0.326666666667
ruby,12,0.08
mssql,10,0.0666666666667
bash,2,0.0133333333333
c++,23,0.153333333333
spss,13,0.0866666666667
r,58,0.386666666667
powerpoint,2,0.0133333333333
