Skill,Count,Ranking
tableau,11,0.105769230769
hive,6,0.0576923076923
mysql,1,0.00961538461538
sas,13,0.125
hbase,2,0.0192307692308
d3,6,0.0576923076923
cassandra,1,0.00961538461538
java,22,0.211538461538
rdbms,1,0.00961538461538
scala,11,0.105769230769
excel,7,0.0673076923077
hadoop,14,0.134615384615
perl,2,0.0192307692308
matlab,9,0.0865384615385
numpy,4,0.0384615384615
pandas,4,0.0384615384615
python,50,0.480769230769
javascript,6,0.0576923076923
spotfire,1,0.00961538461538
scipy,1,0.00961538461538
sql,36,0.346153846154
spark,15,0.144230769231
php,2,0.0192307692308
ruby,1,0.00961538461538
c++,16,0.153846153846
spss,5,0.0480769230769
r,45,0.432692307692
powerpoint,1,0.00961538461538
