Skill,Count,Ranking
excel,6,0.0576923076923
sql,39,0.375
pig,1,0.00961538461538
hive,6,0.0576923076923
sas,13,0.125
tableau,11,0.105769230769
cassandra,3,0.0288461538462
java,36,0.346153846154
scala,10,0.0961538461538
saas,1,0.00961538461538
hadoop,29,0.278846153846
matlab,6,0.0576923076923
pandas,2,0.0192307692308
python,49,0.471153846154
javascript,6,0.0576923076923
splunk,3,0.0288461538462
spark,21,0.201923076923
php,2,0.0192307692308
ruby,3,0.0288461538462
mssql,1,0.00961538461538
c++,7,0.0673076923077
spss,13,0.125
r,48,0.461538461538
powerpoint,1,0.00961538461538
