Skill,Count,Ranking
nosql,3,0.03125
saas,1,0.0104166666667
oozie,1,0.0104166666667
hadoop,30,0.3125
c++,9,0.09375
mysql,1,0.0104166666667
sas,21,0.21875
hbase,8,0.0833333333333
d3,7,0.0729166666667
cassandra,10,0.104166666667
java,33,0.34375
rdbms,3,0.03125
scala,12,0.125
excel,11,0.114583333333
tableau,9,0.09375
perl,2,0.0208333333333
mahout,2,0.0208333333333
matlab,13,0.135416666667
numpy,1,0.0104166666667
pandas,1,0.0104166666667
pig,10,0.104166666667
python,55,0.572916666667
mongodb,2,0.0208333333333
javascript,6,0.0625
spotfire,1,0.0104166666667
sql,41,0.427083333333
spark,22,0.229166666667
php,6,0.0625
ruby,3,0.03125
bash,1,0.0104166666667
mapreduce,3,0.03125
hive,13,0.135416666667
spss,9,0.09375
r,53,0.552083333333
powerpoint,1,0.0104166666667
