Skill,Count,Ranking
zookeeper,1,0.00657894736842
pig,17,0.111842105263
c++,16,0.105263157895
sas,42,0.276315789474
tableau,12,0.0789473684211
hbase,5,0.0328947368421
d3,4,0.0263157894737
cassandra,4,0.0263157894737
java,49,0.322368421053
rdbms,2,0.0131578947368
scala,15,0.0986842105263
excel,13,0.0855263157895
hadoop,40,0.263157894737
perl,2,0.0131578947368
mahout,4,0.0263157894737
matlab,22,0.144736842105
numpy,1,0.00657894736842
pandas,2,0.0131578947368
flume,4,0.0263157894737
python,72,0.473684210526
javascript,4,0.0263157894737
spotfire,3,0.0197368421053
sql,49,0.322368421053
spark,43,0.282894736842
php,5,0.0328947368421
ruby,13,0.0855263157895
hive,28,0.184210526316
spss,7,0.0460526315789
r,67,0.440789473684
powerpoint,1,0.00657894736842
