Skill,Count,Ranking
pig,9,0.0882352941176
c++,6,0.0588235294118
sas,17,0.166666666667
tableau,6,0.0588235294118
hbase,1,0.00980392156863
d3,5,0.0490196078431
cassandra,1,0.00980392156863
java,22,0.21568627451
scala,9,0.0882352941176
excel,3,0.0294117647059
hadoop,19,0.186274509804
perl,2,0.0196078431373
mahout,1,0.00980392156863
matlab,7,0.0686274509804
numpy,1,0.00980392156863
pandas,1,0.00980392156863
python,44,0.43137254902
javascript,7,0.0686274509804
sql,26,0.254901960784
spark,19,0.186274509804
php,3,0.0294117647059
ruby,2,0.0196078431373
bash,3,0.0294117647059
hive,13,0.127450980392
spss,5,0.0490196078431
r,45,0.441176470588
