Skill,Count,Ranking
saas,1,0.00649350649351
tableau,25,0.162337662338
c++,6,0.038961038961
sas,19,0.123376623377
hbase,1,0.00649350649351
d3,4,0.025974025974
java,46,0.298701298701
scala,17,0.11038961039
excel,14,0.0909090909091
hadoop,29,0.188311688312
perl,6,0.038961038961
mahout,1,0.00649350649351
matlab,16,0.103896103896
numpy,12,0.0779220779221
pandas,14,0.0909090909091
pig,7,0.0454545454545
python,64,0.415584415584
javascript,2,0.012987012987
scipy,11,0.0714285714286
sql,55,0.357142857143
spark,33,0.214285714286
php,3,0.0194805194805
ruby,14,0.0909090909091
mssql,1,0.00649350649351
bash,1,0.00649350649351
mapreduce,1,0.00649350649351
hive,6,0.038961038961
spss,2,0.012987012987
r,74,0.480519480519
