Skill,Count,Ranking
excel,16,0.103896103896
tableau,9,0.0584415584416
hive,18,0.116883116883
sas,20,0.12987012987
hbase,14,0.0909090909091
d3,4,0.025974025974
cassandra,14,0.0909090909091
java,38,0.246753246753
rdbms,2,0.012987012987
scala,25,0.162337662338
saas,2,0.012987012987
hadoop,35,0.227272727273
perl,3,0.0194805194805
mahout,1,0.00649350649351
matlab,10,0.0649350649351
numpy,1,0.00649350649351
pandas,1,0.00649350649351
pig,14,0.0909090909091
python,73,0.474025974026
javascript,1,0.00649350649351
spotfire,2,0.012987012987
scipy,1,0.00649350649351
sql,38,0.246753246753
spark,33,0.214285714286
php,1,0.00649350649351
ruby,4,0.025974025974
c++,19,0.123376623377
spss,15,0.0974025974026
r,58,0.376623376623
