Skill,Count,Ranking
excel,8,0.078431372549
sql,38,0.372549019608
pig,3,0.0294117647059
c++,5,0.0490196078431
mysql,2,0.0196078431373
sas,20,0.196078431373
tableau,16,0.156862745098
hbase,1,0.00980392156863
d3,1,0.00980392156863
cassandra,7,0.0686274509804
java,19,0.186274509804
scala,14,0.137254901961
saas,2,0.0196078431373
hadoop,13,0.127450980392
matlab,2,0.0196078431373
numpy,2,0.0196078431373
pandas,2,0.0196078431373
python,40,0.392156862745
javascript,2,0.0196078431373
splunk,1,0.00980392156863
spark,16,0.156862745098
php,4,0.0392156862745
ruby,1,0.00980392156863
bash,1,0.00980392156863
hive,4,0.0392156862745
spss,2,0.0196078431373
r,44,0.43137254902
