Skill,Count,Ranking
tableau,9,0.0584415584416
hive,13,0.0844155844156
sas,13,0.0844155844156
hbase,7,0.0454545454545
d3,3,0.0194805194805
cassandra,8,0.0519480519481
java,21,0.136363636364
rdbms,4,0.025974025974
scala,20,0.12987012987
excel,7,0.0454545454545
hadoop,23,0.149350649351
perl,3,0.0194805194805
mahout,1,0.00649350649351
matlab,6,0.038961038961
numpy,1,0.00649350649351
pandas,2,0.012987012987
flume,4,0.025974025974
python,32,0.207792207792
javascript,4,0.025974025974
spotfire,1,0.00649350649351
sql,24,0.155844155844
spark,25,0.162337662338
pig,8,0.0519480519481
ruby,2,0.012987012987
bash,1,0.00649350649351
c++,8,0.0519480519481
spss,7,0.0454545454545
r,33,0.214285714286
